step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,aml_flag
550,TRANSFER,342309.91,C662184778,342309.91,0.0,C1740503020,0.0,0.0,1,0,Dormant Activity
693,TRANSFER,1018645.2,C213913405,1018645.2,0.0,C72963168,0.0,0.0,1,0,Layering
305,TRANSFER,10000000.0,C1660275627,12321633.57,2321633.57,C851819118,0.0,0.0,1,0,Layering
250,PAYMENT,7054.43,C581455076,42728.69,35674.26,M1566473223,0.0,0.0,0,0,Dormant Activity
444,TRANSFER,1186725.39,C1047335023,1186725.39,0.0,C1970958530,0.0,0.0,1,0,Layering
698,TRANSFER,9097679.75,C413853456,9097679.75,0.0,C949247454,0.0,0.0,1,0,Layering
590,TRANSFER,179725.06,C916884733,179725.06,0.0,C829501774,0.0,0.0,1,0,Dormant Activity
450,CASH_OUT,36267.62,C281930322,36267.62,0.0,C1655359478,6310213.47,6346481.09,1,0,Dormant Activity
527,TRANSFER,1094419.89,C1749621461,1094419.89,0.0,C1910771897,0.0,0.0,1,0,Layering
180,CASH_OUT,37891.64,C1250668520,52001.0,14109.36,C385864067,0.0,37891.64,0,0,Dormant Activity
307,TRANSFER,1749325.14,C1343086585,1749325.14,0.0,C256353022,0.0,0.0,1,0,Layering
173,TRANSFER,8594499.99,C377226285,8594499.99,0.0,C497430875,0.0,0.0,1,0,Layering
490,PAYMENT,23392.76,C1055809288,8320.0,0.0,M871208773,0.0,0.0,0,0,Dormant Activity
679,TRANSFER,3150438.28,C1921052827,3150438.28,0.0,C117597233,0.0,0.0,1,0,Layering
190,CASH_OUT,265747.73,C2046465313,265747.73,0.0,C1929273714,0.0,265747.73,1,0,Dormant Activity
713,TRANSFER,2046684.58,C1240168728,2046684.58,0.0,C807998987,0.0,0.0,1,0,Layering
470,TRANSFER,2859010.61,C2075115765,2859010.61,0.0,C2025150574,0.0,0.0,1,0,Layering
282,TRANSFER,1564952.45,C629586313,1564952.45,0.0,C1455441371,0.0,0.0,1,0,Layering
491,TRANSFER,1265033.25,C816802649,1265033.25,0.0,C1270749460,0.0,0.0,1,0,Layering
10,CASH_OUT,51838.11,C1443276015,0.0,0.0,C787593204,657911.52,709749.62,0,0,Dormant Activity
249,TRANSFER,3879669.76,C754455797,3879669.76,0.0,C2131616208,0.0,0.0,1,0,Layering
130,CASH_OUT,349289.86,C167292992,0.0,0.0,C1516228613,704048.38,1053338.24,0,0,Dormant Activity
131,TRANSFER,10000000.0,C2046014385,17476725.66,7476725.66,C97016938,0.0,0.0,1,0,Layering
348,TRANSFER,1074260.57,C1514055041,0.0,0.0,C1983541759,4485815.21,5560075.78,0,0,Layering
350,TRANSFER,117326.12,C881414235,36862.0,0.0,C257884050,13629499.98,13746826.1,0,0,Dormant Activity
380,CASH_OUT,3070709.95,C1489638562,3070709.95,0.0,C1524302218,0.0,3070709.95,1,0,Dormant Activity
610,CASH_OUT,298754.96,C87645050,298754.96,0.0,C1812719573,1865811.93,2164566.89,1,0,Dormant Activity
72,TRANSFER,3243092.91,C891068137,3243092.91,0.0,C177386089,0.0,0.0,1,0,Layering
10,CASH_OUT,143657.04,C877199345,31118.0,0.0,C1088012140,86104.7,61924.83,0,0,Dormant Activity
540,CASH_OUT,47481.9,C1703320349,0.0,0.0,C743882634,744897.64,792379.54,0,0,Dormant Activity
477,TRANSFER,9639524.7,C1490771263,9639524.7,0.0,C486822956,0.0,0.0,1,0,Layering
670,CASH_OUT,1001446.44,C1868561547,1001446.44,0.0,C597212846,0.0,1001446.44,1,0,Dormant Activity
365,TRANSFER,3244067.13,C2080670113,3244067.13,0.0,C1564547651,0.0,0.0,1,0,Layering
250,CASH_OUT,49444.82,C1176642944,1829.0,0.0,C1905611312,214315.03,263759.84,0,0,Dormant Activity
737,TRANSFER,2194533.79,C871130115,2194533.79,0.0,C1027984317,0.0,0.0,1,0,Layering
644,TRANSFER,4438931.81,C594373709,4438931.81,0.0,C2071706455,0.0,0.0,1,0,Layering
430,CASH_OUT,3302492.95,C265373063,3302492.95,0.0,C628493905,589810.81,3892303.76,1,0,Dormant Activity
460,TRANSFER,76548.48,C2008095547,76548.48,0.0,C2016906281,0.0,0.0,1,0,Dormant Activity
20,CASH_IN,160713.38,C417155290,2748477.62,2909191.0,C2020337583,302200.94,141487.56,0,0,Dormant Activity
253,TRANSFER,2415826.18,C549084804,2415826.18,0.0,C47190955,0.0,0.0,1,0,Layering
310,CASH_OUT,13846.15,C2033769078,644537.0,630690.85,C1497868476,0.0,13846.15,0,0,Dormant Activity
30,CASH_OUT,19016.22,C1257554854,19016.22,0.0,C1044117371,9347999.52,9367015.74,1,0,Dormant Activity
116,TRANSFER,2694857.26,C2100014537,2694857.26,0.0,C973050515,0.0,0.0,1,0,Layering
130,TRANSFER,201988.55,C1124488417,201988.55,0.0,C795184692,0.0,0.0,1,0,Dormant Activity
120,PAYMENT,14542.16,C182885762,27084.0,12541.84,M595708342,0.0,0.0,0,0,Dormant Activity
154,TRANSFER,1581441.8,C1665891733,1581441.8,0.0,C1915924384,0.0,0.0,1,0,Layering
192,TRANSFER,1764326.19,C1959772119,1764326.19,0.0,C195893407,0.0,0.0,1,0,Layering
310,TRANSFER,5239429.19,C1514931968,5239429.19,0.0,C1789156105,0.0,0.0,1,0,Layering
710,CASH_OUT,10000000.0,C415175436,10000000.0,0.0,C1774310379,1058449.45,11058449.45,1,0,Dormant Activity
370,CASH_OUT,811459.21,C1102225556,811459.21,0.0,C2084986511,843227.0,1654686.21,1,0,Dormant Activity
179,TRANSFER,1494831.65,C1705883896,1494831.65,0.0,C258215915,0.0,0.0,1,0,Layering
