step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,aml_flag
397,0,76550.74,13532,1096252.93,1172803.66,9936,2208784.02,2132233.28,0,0,Clean
251,3,12617.11,7074,339181.87,326564.76,14826,0.0,0.0,0,0,Clean
98,1,8055.06,4735,8055.06,0.0,12896,0.0,8055.06,1,0,Clean
550,4,342309.91,13572,342309.91,0.0,5137,0.0,0.0,1,0,Dormant Activity
586,1,2581549.92,13452,2581549.92,0.0,7896,0.0,2581549.92,1,0,Clean
528,1,501101.41,13535,501101.41,0.0,4004,561058.61,1062160.03,1,0,Clean
253,4,418896.64,8011,291444.0,0.0,8154,12388464.2,12807360.84,0,0,Clean
275,1,2607790.58,10014,2607790.58,0.0,3285,7640097.83,10247888.41,1,0,Clean
328,1,25091.68,4926,1022.0,0.0,9393,164200.7,189292.38,0,0,Clean
44,3,16800.24,2432,140537.0,123736.76,14303,0.0,0.0,0,0,Clean
693,4,1018645.2,9801,1018645.2,0.0,11626,0.0,0.0,1,0,Layering
254,4,159225.76,1563,375.0,0.0,13321,0.0,159225.76,0,0,Clean
138,3,22279.86,9262,198916.0,176636.14,16221,0.0,0.0,0,0,Clean
346,4,516355.22,3094,516355.22,0.0,9708,0.0,0.0,1,0,Clean
305,4,10000000.0,5744,12321633.57,2321633.57,12490,0.0,0.0,1,0,Layering
305,3,191.74,11416,0.0,0.0,13750,0.0,0.0,0,0,Clean
16,1,121626.82,14961,121626.82,0.0,98,653744.34,775371.16,1,0,Clean
41,0,357910.63,14673,30499.0,388409.63,311,720479.73,362569.1,0,0,Clean
209,3,8398.98,9743,328083.2,319684.22,14997,0.0,0.0,0,0,Clean
250,3,7054.43,12928,42728.69,35674.26,14314,0.0,0.0,0,0,Dormant Activity
227,0,13014.75,14420,2551.0,15565.75,12469,2100.89,0.0,0,0,Clean
131,3,13431.98,5031,250283.89,236851.91,15088,0.0,0.0,0,0,Clean
25,1,249159.26,8338,249159.26,0.0,11764,285997.41,535156.67,1,0,Clean
137,3,521.37,8934,0.0,0.0,15435,0.0,0.0,0,0,Clean
254,3,10254.16,8534,381506.09,371251.94,14248,0.0,0.0,0,0,Clean
444,4,1186725.39,435,1186725.39,0.0,6750,0.0,0.0,1,0,Layering
698,4,9097679.75,11508,9097679.75,0.0,13155,0.0,0.0,1,0,Layering
536,4,624686.04,3435,624686.04,0.0,5447,0.0,0.0,1,0,Clean
576,1,1322277.84,5107,1322277.84,0.0,5973,0.0,1322277.84,1,0,Clean
590,4,179725.06,15700,179725.06,0.0,12313,0.0,0.0,1,0,Dormant Activity
248,1,18035.14,1910,18035.14,0.0,9731,0.0,18035.14,1,0,Clean
450,1,36267.62,10404,36267.62,0.0,4523,6310213.47,6346481.09,1,0,Dormant Activity
317,1,493.28,9692,493.28,0.0,4551,1078812.78,1079306.06,1,0,Clean
335,1,265820.49,3015,0.0,0.0,8064,899770.81,1165591.3,0,0,Clean
13,1,1161495.82,5668,1161495.82,0.0,6712,319036.02,1565123.81,1,0,Clean
262,3,3909.84,388,132822.83,128912.99,15748,0.0,0.0,0,0,Clean
275,3,4914.0,13407,23008.62,18094.63,15573,0.0,0.0,0,0,Clean
325,1,377475.36,9689,38975.0,0.0,397,0.0,377475.36,0,0,Clean
339,1,164382.72,7481,164382.72,0.0,11974,445530.63,609913.36,1,0,Clean
192,3,683.11,5570,125940.29,125257.18,13763,0.0,0.0,0,0,Clean
308,3,9063.08,9869,242587.29,233524.21,14470,0.0,0.0,0,0,Clean
41,1,422700.27,716,30176.0,0.0,9539,235316.34,658016.6,0,0,Clean
378,1,270544.9,346,2178.0,0.0,12978,0.0,270544.9,0,0,Clean
352,1,36404.25,14646,0.0,0.0,857,1055591.86,1091996.11,0,0,Clean
493,1,605108.36,10199,605108.36,0.0,1422,893880.11,1498988.47,1,0,Clean
333,3,43379.55,2781,1226.0,0.0,13852,0.0,0.0,0,0,Clean
137,0,360765.08,12930,4663695.31,5024460.39,347,1674242.74,1313477.66,0,0,Clean
646,1,10000000.0,12354,10000000.0,0.0,8315,0.0,10000000.0,1,0,Clean
527,4,1094419.89,6527,1094419.89,0.0,6358,0.0,0.0,1,0,Layering
180,1,37891.64,2179,52001.0,14109.36,9188,0.0,37891.64,0,0,Dormant Activity
473,1,179700.14,2365,179700.14,0.0,6887,1792.34,181492.48,1,0,Clean
41,4,82806.2,12019,82806.2,0.0,5112,0.0,0.0,1,0,Clean
572,4,151715.39,2666,151715.39,0.0,13485,0.0,0.0,1,0,Clean
541,1,2629417.41,15598,2629417.41,0.0,5962,0.0,2629417.41,1,0,Clean
33,1,456190.27,8663,3164.0,0.0,1672,1363322.87,1819513.14,0,0,Clean
34,3,3095.63,9836,0.0,0.0,13593,0.0,0.0,0,0,Clean
258,1,2684142.41,3623,2684142.41,0.0,3032,209538.74,2893681.15,1,0,Clean
155,0,327850.86,11580,119272.0,447122.86,10031,10243368.54,9915517.67,0,0,Clean
87,4,115461.48,7520,115461.48,0.0,8158,0.0,0.0,1,0,Clean
282,0,82841.07,662,8221000.36,8303841.42,8756,339314.08,256473.01,0,0,Clean
161,1,239026.93,7547,26799.0,0.0,8024,569183.79,808210.72,0,0,Clean
