step,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,type_CASH_OUT,type_TRANSFER,aml_flag_Clean,aml_flag_Dormant Activity,aml_flag_Layering
615,56510.5,56510.5,0.0,0.0,0.0,1,0,False,True,True,False,False
714,10000000.0,10390763.24,390763.24,0.0,0.0,1,0,False,True,False,False,True
324,21580.37,21580.37,0.0,0.0,0.0,1,0,False,True,True,False,False
668,1576531.53,1576531.53,0.0,0.0,1576531.53,1,0,True,False,True,False,False
499,488243.65,488243.65,0.0,0.0,0.0,1,0,False,True,True,False,False
501,73328.47,73328.47,0.0,121670.8,194999.27,1,0,True,False,True,False,False
226,29174.8,29174.8,0.0,4093.57,33268.36,1,0,True,False,True,False,False
164,177680.54,177680.54,0.0,0.0,0.0,1,0,False,True,True,False,False
80,244814.12,244814.12,0.0,0.0,0.0,1,0,False,True,False,True,False
536,285382.07,285382.07,0.0,0.0,285382.07,1,0,True,False,True,False,False
534,1390332.39,1390332.39,0.0,0.0,1390332.39,1,0,True,False,True,False,False
265,5721871.91,5721871.91,0.0,146633.42,5868505.33,1,0,True,False,True,False,False
241,657417.64,657417.64,0.0,0.0,657417.64,1,0,True,False,True,False,False
725,123259.24,123259.24,0.0,1175578.47,1298837.71,1,0,True,False,True,False,False
397,52689.13,52689.13,0.0,160085.29,212774.42,1,0,True,False,True,False,False
231,273821.76,273821.76,0.0,0.0,0.0,1,0,False,True,True,False,False
505,2251225.38,2251225.38,0.0,0.0,0.0,1,0,False,True,False,False,True
71,91691.75,91691.75,0.0,0.0,0.0,1,0,False,True,True,False,False
737,167606.49,167606.49,0.0,2315864.75,2483471.24,1,0,True,False,True,False,False
33,3295227.84,3295227.84,0.0,0.0,0.0,1,0,False,True,False,False,True
406,126192.63,126192.63,0.0,0.0,126192.63,1,0,True,False,True,False,False
325,30846.84,30846.84,0.0,0.0,0.0,1,0,False,True,True,False,False
152,102945.99,102945.99,0.0,0.0,0.0,1,0,False,True,True,False,False
485,471906.6,471906.6,0.0,0.0,0.0,1,0,False,True,True,False,False
436,842554.02,842554.02,0.0,0.0,0.0,1,0,False,True,True,False,False
279,10000000.0,30536624.41,20536624.41,0.0,0.0,1,0,False,True,False,False,True
234,450489.27,450489.27,0.0,122047.64,572536.91,1,0,True,False,True,False,False
396,1547877.98,1547877.98,0.0,0.0,0.0,1,0,False,True,False,False,True
385,620512.76,620512.76,0.0,0.0,620512.76,1,0,True,False,True,False,False
30,236947.25,236947.25,0.0,0.0,0.0,1,0,False,True,False,True,False
524,356224.26,356224.26,0.0,0.0,356224.26,1,0,True,False,True,False,False
490,1927403.83,1927403.83,0.0,0.0,1927403.83,1,0,True,False,False,True,False
625,58924.16,58924.16,0.0,0.0,0.0,1,0,False,True,True,False,False
689,2163012.63,2163012.63,0.0,0.0,2163012.63,1,0,True,False,True,False,False
58,7108914.22,7108914.22,0.0,0.0,0.0,1,0,False,True,False,False,True
190,265747.73,265747.73,0.0,0.0,265747.73,1,0,True,False,False,True,False
113,1636403.22,1636403.22,0.0,0.0,0.0,1,0,False,True,False,False,True
74,158489.29,158489.29,0.0,0.0,0.0,1,0,False,True,True,False,False
568,32521.24,32521.24,0.0,327985.18,360506.42,1,0,True,False,True,False,False
602,1976666.45,1976666.45,0.0,0.0,1976666.45,1,0,True,False,True,False,False
205,245694.84,245694.84,0.0,0.0,0.0,1,0,False,True,True,False,False
183,5566.14,5566.14,0.0,0.0,5566.14,1,0,True,False,True,False,False
656,110528.53,110528.53,0.0,0.0,0.0,1,0,False,True,True,False,False
737,946705.53,946705.53,0.0,0.0,0.0,1,0,False,True,True,False,False
309,222694.08,222694.08,0.0,0.0,222694.08,1,0,True,False,True,False,False
694,174107.36,174107.36,0.0,0.0,0.0,1,0,False,True,True,False,False
659,1467987.57,1467987.57,0.0,0.0,0.0,1,0,False,True,False,False,True
414,10000000.0,10000000.0,0.0,0.0,10000000.0,1,0,True,False,True,False,False
193,660746.19,660746.19,0.0,935791.84,1596538.03,1,0,True,False,True,False,False
63,148188.84,148188.84,0.0,0.0,0.0,1,0,False,True,True,False,False
250,177217.55,177217.55,0.0,0.0,0.0,1,0,False,True,False,True,False
732,417129.11,417129.11,0.0,0.0,0.0,1,0,False,True,True,False,False
339,373531.87,373531.87,0.0,0.0,0.0,1,0,False,True,True,False,False
404,540914.12,540914.12,0.0,0.0,0.0,1,0,False,True,True,False,False
77,819048.34,819048.34,0.0,0.0,0.0,1,0,False,True,True,False,False
626,44577.32,44577.32,0.0,0.0,0.0,1,0,False,True,True,False,False
652,80397.86,80397.86,0.0,410068.69,490466.54,1,0,True,False,True,False,False
618,114483.78,114483.78,0.0,780631.49,895115.27,1,0,True,False,True,False,False
87,114339.1,114339.1,0.0,41413.23,155752.33,1,0,True,False,True,False,False
23,146127.1,146127.1,0.0,0.0,0.0,1,0,False,True,True,False,False
264,84196.79,84196.79,0.0,0.0,0.0,1,0,False,True,True,False,False
381,703882.14,703882.14,0.0,0.0,0.0,1,0,False,True,True,False,False
379,17216.14,17216.14,0.0,30730.87,47947.01,1,0,True,False,True,False,False
179,445705.76,445705.76,0.0,0.0,445705.76,1,0,True,False,True,False,False
461,1464614.79,1464614.79,0.0,0.0,1464614.79,1,0,True,False,True,False,False
488,5363795.31,5363795.31,0.0,0.0,0.0,1,0,False,True,False,False,True
349,977805.62,977805.62,0.0,0.0,977805.62,1,0,True,False,True,False,False
345,132973.41,132973.41,0.0,0.0,0.0,1,0,False,True,True,False,False
274,70753.9,70753.9,0.0,0.0,70753.9,1,0,True,False,True,False,False
247,76646.05,76646.05,0.0,0.0,76646.05,1,0,True,False,True,False,False
71,322113.91,322113.91,0.0,0.0,0.0,1,0,False,True,True,False,False
660,14360.12,14360.12,0.0,8869218.72,8883578.84,1,0,True,False,False,True,False
271,642364.74,642364.74,0.0,0.0,642364.74,1,0,True,False,True,False,False
198,2634032.61,2634032.61,0.0,0.0,0.0,1,0,False,True,False,False,True
532,254719.63,254719.63,0.0,0.0,0.0,1,0,False,True,True,False,False
625,2654302.46,2654302.46,0.0,0.0,0.0,1,0,False,True,False,False,True
394,201247.25,201247.25,0.0,1296099.23,1497346.48,1,0,True,False,True,False,False
156,805319.81,805319.81,0.0,0.0,805319.81,1,0,True,False,True,False,False
652,2911505.23,2911505.23,0.0,0.0,0.0,1,0,False,True,False,False,True
520,3283695.97,3283695.97,0.0,0.0,0.0,1,0,False,True,False,False,True
420,1464160.5,1464160.5,0.0,462739.95,1926900.44,1,0,True,False,False,True,False
202,2263927.04,2263927.04,0.0,0.0,2263927.04,1,0,True,False,True,False,False
71,304085.48,304085.48,0.0,0.0,0.0,1,0,False,True,True,False,False
65,701168.78,701168.78,0.0,841462.58,1542631.35,1,0,True,False,True,False,False
527,1094419.89,1094419.89,0.0,6352690.24,7447110.13,1,0,True,False,True,False,False
122,188249.17,188249.17,0.0,381115.19,569364.36,1,0,True,False,True,False,False
285,1421665.98,1421665.98,0.0,0.0,0.0,1,0,False,True,False,False,True
321,203874.62,203874.62,0.0,472690.19,676564.81,1,0,True,False,True,False,False
229,143332.0,143332.0,0.0,482652.15,716367.34,1,0,True,False,True,False,False
263,273408.94,273408.94,0.0,0.0,273408.94,1,0,True,False,True,False,False
676,327773.15,327773.15,0.0,696949.46,1024722.61,1,0,True,False,True,False,False
111,3595911.39,3595911.39,0.0,82970.96,3678882.35,1,0,True,False,True,False,False
187,856386.66,856386.66,0.0,256445.98,1112832.65,1,0,True,False,True,False,False
509,1994525.04,1994525.04,0.0,337740.87,2332265.91,1,0,True,False,True,False,False
698,131842.85,131842.85,0.0,3479.07,135321.92,1,0,True,False,True,False,False
234,264949.69,264949.69,0.0,0.0,0.0,1,0,False,True,True,False,False
270,134623.95,134623.95,0.0,0.0,0.0,1,0,False,True,False,True,False
439,3653274.35,3653274.35,0.0,0.0,0.0,1,0,False,True,False,False,True
251,82112.74,82112.74,0.0,0.0,0.0,1,0,False,True,True,False,False
108,566142.89,566142.89,0.0,1344558.46,1910701.34,1,0,True,False,True,False,False
629,7922.98,7922.98,0.0,0.0,7922.98,1,0,True,False,True,False,False
732,1157971.07,1157971.07,0.0,2974237.06,4132208.13,1,0,True,False,True,False,False
464,336917.97,336917.97,0.0,0.0,0.0,1,0,False,True,True,False,False
281,2554662.97,2554662.97,0.0,0.0,0.0,1,0,False,True,False,False,True
365,93581.19,93581.19,0.0,0.0,0.0,1,0,False,True,True,False,False
586,2581549.92,2581549.92,0.0,0.0,2581549.92,1,0,True,False,True,False,False
581,155002.83,155002.83,0.0,0.0,0.0,1,0,False,True,True,False,False
697,1226390.31,1226390.31,0.0,203175.25,1429565.56,1,0,True,False,True,False,False
145,1767886.02,1767886.02,0.0,0.0,0.0,1,0,False,True,False,False,True
670,1938347.14,1938347.14,0.0,0.0,0.0,1,0,False,True,False,False,True
84,4830219.15,4830219.15,0.0,0.0,4830219.15,1,0,True,False,True,False,False
503,251683.05,251683.05,0.0,0.0,251683.05,1,0,True,False,True,False,False
4,169941.73,169941.73,0.0,0.0,169941.73,1,0,True,False,True,False,False
542,7469051.14,7469051.14,0.0,94820.42,7563871.56,1,0,True,False,True,False,False
261,2689633.8,2689633.8,0.0,0.0,0.0,1,0,False,True,False,False,True
581,155002.83,155002.83,0.0,0.0,155002.83,1,0,True,False,True,False,False
29,268641.82,268641.82,0.0,0.0,0.0,1,0,False,True,True,False,False
212,1947807.58,1947807.58,0.0,0.0,0.0,1,0,False,True,False,False,True
163,163294.35,163294.35,0.0,234212.42,397506.77,1,0,True,False,True,False,False
262,201281.36,201281.36,0.0,0.0,0.0,1,0,False,True,True,False,False
209,1516823.73,1516823.73,0.0,386329.46,1903153.19,1,0,True,False,True,False,False
170,871893.15,871893.15,0.0,0.0,0.0,1,0,False,True,False,True,False
111,98692.72,98692.72,0.0,67599.16,166291.88,1,0,True,False,True,False,False
229,38580.45,38580.45,0.0,0.0,0.0,1,0,False,True,True,False,False
613,86002.09,86002.09,0.0,0.0,86002.09,1,0,True,False,True,False,False
285,752639.78,752639.78,0.0,290612.69,1043252.47,1,0,True,False,True,False,False
462,1433038.32,1433038.32,0.0,116466.92,1549505.24,1,0,True,False,True,False,False
692,349619.91,349619.91,0.0,1472559.62,1822179.54,1,0,True,False,True,False,False
62,722380.88,722380.88,0.0,0.0,0.0,1,0,False,True,True,False,False
160,1284959.39,1284959.39,0.0,0.0,0.0,1,0,False,True,False,False,True
173,176273.29,176273.29,0.0,0.0,176273.29,1,0,True,False,True,False,False
185,131597.73,131597.73,0.0,0.0,0.0,1,0,True,False,True,False,False
723,6199009.0,6199009.0,0.0,938804.47,7137813.47,1,0,True,False,True,False,False
436,539658.73,539658.73,0.0,0.0,0.0,1,0,False,True,True,False,False
197,486060.16,486060.16,0.0,0.0,486060.16,1,0,True,False,True,False,False
119,1082718.08,1082718.08,0.0,0.0,1082718.08,1,0,True,False,True,False,False
21,23292.3,0.0,0.0,392364.62,415656.92,1,0,True,False,True,False,False
593,125146.75,125146.75,0.0,1820417.69,1945564.44,1,0,True,False,True,False,False
446,311487.14,311487.14,0.0,0.0,0.0,1,0,False,True,True,False,False
351,6721321.33,6721321.33,0.0,0.0,0.0,1,0,False,True,False,False,True
122,188249.17,188249.17,0.0,0.0,0.0,1,0,False,True,True,False,False
352,1962548.46,1962548.46,0.0,0.0,0.0,1,0,False,True,False,False,True
274,2274566.61,2274566.61,0.0,0.0,0.0,1,0,False,True,False,False,True
681,807466.16,807466.16,0.0,0.0,0.0,1,0,False,True,True,False,False
135,7927.06,7927.06,0.0,0.0,7927.06,1,0,True,False,True,False,False
456,760984.58,760984.58,0.0,1550675.96,2311660.54,1,0,True,False,True,False,False
415,461369.99,461369.99,0.0,2572575.13,3033945.11,1,0,True,False,True,False,False
124,1399637.19,1399637.19,0.0,0.0,0.0,1,0,False,True,False,False,True
137,1265379.37,1265379.37,0.0,0.0,1265379.37,1,0,True,False,True,False,False
237,3924102.18,3924102.18,0.0,0.0,3924102.18,1,0,True,False,True,False,False
161,10000000.0,11336901.11,1336901.11,0.0,0.0,1,0,False,True,False,False,True
542,5166393.44,5166393.44,0.0,0.0,0.0,1,0,False,True,False,False,True
619,595854.2,595854.2,0.0,0.0,0.0,1,0,False,True,True,False,False
269,32527.0,32527.0,0.0,0.0,0.0,1,0,False,True,True,False,False
605,269692.53,269692.53,0.0,2248741.77,2518434.3,1,0,True,False,True,False,False
129,139210.23,139210.23,0.0,0.0,0.0,1,0,False,True,True,False,False
44,534255.94,534255.94,0.0,24559.0,558814.94,1,0,True,False,True,False,False
175,895565.06,895565.06,0.0,0.0,0.0,1,0,False,True,True,False,False
546,24773.86,24773.86,0.0,0.0,0.0,1,0,False,True,True,False,False
464,1506795.1,1506795.1,0.0,39851.76,1546646.86,1,0,True,False,True,False,False
20,448025.06,448025.06,0.0,0.0,0.0,1,0,False,True,False,True,False
673,645104.5,645104.5,0.0,0.0,0.0,1,0,False,True,True,False,False
253,168455.76,168455.76,0.0,0.0,0.0,1,0,False,True,True,False,False
614,4212682.84,4212682.84,0.0,0.0,0.0,1,0,False,True,False,False,True
86,88649.1,88649.1,0.0,0.0,0.0,1,0,False,True,True,False,False
494,103909.1,103909.1,0.0,0.0,103909.1,1,0,True,False,True,False,False
460,1424002.7,1424002.7,0.0,11407.5,1435410.19,1,0,True,False,False,True,False
249,3138.25,3138.25,0.0,249297.18,252435.43,1,0,True,False,True,False,False
727,276298.49,276298.49,0.0,0.0,0.0,1,0,False,True,True,False,False
621,3582885.46,3582885.46,0.0,0.0,0.0,1,0,False,True,False,False,True
592,369306.87,369306.87,0.0,786338.72,1155645.58,1,0,True,False,True,False,False
497,10000000.0,10000000.0,0.0,714460.87,10714460.87,1,0,True,False,True,False,False
419,533092.45,533092.45,0.0,0.0,0.0,1,0,False,True,True,False,False
514,3551771.18,3551771.18,0.0,208369.87,3760141.06,1,0,True,False,True,False,False
95,53062.52,53062.52,0.0,0.0,0.0,1,0,False,True,True,False,False
705,404394.04,404394.04,0.0,0.0,0.0,1,0,False,True,True,False,False
460,58058.98,58058.98,0.0,822974.58,881033.56,1,0,True,False,False,True,False
222,35759.12,35759.12,0.0,528553.38,564312.49,1,0,True,False,True,False,False
470,864994.24,864994.24,0.0,0.0,0.0,1,0,False,True,False,True,False
252,76200.04,76200.04,0.0,0.0,0.0,1,0,False,True,True,False,False
9,11308.0,11308.0,0.0,0.0,302550.56,1,0,True,False,True,False,False
558,209829.57,209829.57,0.0,0.0,209829.57,1,0,True,False,True,False,False
43,93459.89,93459.89,0.0,0.0,0.0,1,0,False,True,True,False,False
444,3752520.6,3752520.6,0.0,1255946.49,5008467.09,1,0,True,False,True,False,False
729,90026.9,90026.9,0.0,0.0,0.0,1,0,False,True,True,False,False
9,1154353.99,1154353.99,0.0,162222.0,1965587.6,1,0,True,False,True,False,False
399,1442075.9,1442075.9,0.0,168728.6,1610804.5,1,0,True,False,True,False,False
321,203874.62,203874.62,0.0,0.0,0.0,1,0,False,True,True,False,False
40,2757431.53,2757431.53,0.0,0.0,2757431.53,1,0,True,False,False,True,False
648,774868.1,774868.1,0.0,131877.41,906745.51,1,0,True,False,True,False,False
413,115085.31,115085.31,0.0,0.0,0.0,1,0,False,True,True,False,False
613,1892137.66,1892137.66,0.0,0.0,0.0,1,0,False,True,False,False,True
79,61178.51,61178.51,0.0,238787.35,299965.86,1,0,True,False,True,False,False
686,1637875.33,1637875.33,0.0,0.0,0.0,1,0,False,True,False,False,True
477,9639524.7,9639524.7,0.0,0.0,9639524.7,1,0,True,False,True,False,False
293,234673.76,234673.76,0.0,0.0,0.0,1,0,False,True,True,False,False
703,337287.72,337287.72,0.0,32681.26,369968.98,1,0,True,False,True,False,False
385,617882.66,617882.66,0.0,0.0,0.0,1,0,False,True,True,False,False
578,978103.4,978103.4,0.0,0.0,978103.4,1,0,True,False,True,False,False
656,46291.81,46291.81,0.0,799108.3,845400.11,1,0,True,False,True,False,False
171,2754740.54,2754740.54,0.0,1767824.71,4522565.25,1,0,True,False,True,False,False
651,65494.78,65494.78,0.0,422252.51,487747.29,1,0,True,False,True,False,False
620,295205.08,295205.08,0.0,55972.48,351177.56,1,0,True,False,False,True,False
613,327791.14,327791.14,0.0,175013.26,502804.4,1,0,True,False,True,False,False
39,7937954.2,7937954.2,0.0,2716480.56,10654434.76,1,0,True,False,True,False,False
365,86258.11,86258.11,0.0,0.0,0.0,1,0,False,True,True,False,False
519,1049424.26,1049424.26,0.0,0.0,0.0,1,0,False,True,False,False,True
45,7335355.57,7335355.57,0.0,0.0,0.0,1,0,False,True,False,False,True
619,418971.0,418971.0,0.0,2234184.24,2653155.23,1,0,True,False,True,False,False
132,190737.49,190737.49,0.0,1565285.75,1756023.24,1,0,True,False,True,False,False
736,1314660.84,1314660.84,0.0,0.0,1314660.84,1,0,True,False,True,False,False
119,2040209.74,2040209.74,0.0,11240377.72,13280587.46,1,0,True,False,True,False,False
591,4863106.47,4863106.47,0.0,0.0,4863106.47,1,0,True,False,True,False,False
186,327282.92,327282.92,0.0,0.0,0.0,1,0,False,True,True,False,False
284,741277.85,741277.85,0.0,0.0,0.0,1,0,False,True,True,False,False
654,1290224.84,1290224.84,0.0,0.0,0.0,1,0,False,True,False,False,True
456,30548.46,30548.46,0.0,804314.46,834862.92,1,0,True,False,True,False,False
217,81216.23,81216.23,0.0,0.0,0.0,1,0,False,True,True,False,False
19,3477438.49,3477438.49,0.0,0.0,0.0,1,0,False,True,False,False,True
233,48156.69,48156.69,0.0,0.0,0.0,1,0,False,True,True,False,False
645,214760.72,214760.72,0.0,151605.62,366366.35,1,0,True,False,True,False,False
99,130653.37,130653.37,0.0,89246.77,219900.14,1,0,True,False,True,False,False
367,362672.57,362672.57,0.0,3.51,362676.08,1,0,True,False,True,False,False
506,575082.97,575082.97,0.0,0.0,575082.97,1,0,True,False,True,False,False
574,58863.89,58863.89,0.0,0.0,0.0,1,0,False,True,True,False,False
610,298754.96,298754.96,0.0,1865811.93,2164566.89,1,0,True,False,False,True,False
450,10000000.0,19228514.1,9228514.1,0.0,0.0,1,0,False,True,False,False,True
164,329728.11,329728.11,0.0,0.0,0.0,1,0,False,True,True,False,False
718,9749042.95,9749042.95,0.0,0.0,0.0,1,0,False,True,False,False,True
484,26654.46,26654.46,0.0,0.0,0.0,1,0,False,True,True,False,False
402,1301410.68,1301410.68,0.0,307091.75,1608502.44,1,0,True,False,True,False,False
30,122235.11,122235.11,0.0,0.0,122235.11,1,0,True,False,False,True,False
592,1170213.18,1170213.18,0.0,236605.22,1406818.41,1,0,True,False,True,False,False
482,75659.33,75659.33,0.0,0.0,0.0,1,0,False,True,True,False,False
572,262960.23,262960.23,0.0,0.0,0.0,1,0,False,True,True,False,False
441,1032168.79,1032168.79,0.0,805209.56,1837378.34,1,0,True,False,True,False,False
39,152042.16,152042.16,0.0,710428.02,862470.18,1,0,True,False,True,False,False
741,10000000.0,25674547.89,15674547.89,0.0,0.0,1,0,False,True,False,False,True
211,1330802.24,1330802.24,0.0,151341.34,1515187.24,1,0,True,False,True,False,False
520,2871898.5,2871898.5,0.0,0.0,0.0,1,0,False,True,False,False,True
617,10000000.0,10000000.0,0.0,0.0,10000000.0,1,0,True,False,True,False,False
739,8116.53,8116.53,0.0,0.0,0.0,1,0,False,True,True,False,False
166,1803411.53,1803411.53,0.0,0.0,0.0,1,0,False,True,False,False,True
393,432958.83,432958.83,0.0,0.0,0.0,1,0,False,True,True,False,False
261,8639.93,8639.93,0.0,0.0,0.0,1,0,False,True,True,False,False
303,199870.29,199870.29,0.0,0.0,0.0,1,0,False,True,True,False,False
635,1387048.31,1387048.31,0.0,0.0,0.0,1,0,False,True,False,False,True
330,19692.68,19692.68,0.0,0.0,0.0,1,0,False,True,False,True,False
590,498183.25,498183.25,0.0,107993.04,606176.29,1,0,True,False,False,True,False
554,10000000.0,10000000.0,0.0,0.0,10000000.0,1,0,True,False,True,False,False
685,4886423.05,4886423.05,0.0,0.0,0.0,1,0,False,True,False,False,True
41,581889.94,581889.94,0.0,0.0,0.0,1,0,False,True,True,False,False
182,767755.17,767755.17,0.0,0.0,0.0,1,0,False,True,True,False,False
653,598426.68,598426.68,0.0,0.0,0.0,1,0,False,True,True,False,False
164,177680.54,177680.54,0.0,158560.03,336240.57,1,0,True,False,True,False,False
223,334890.91,334890.91,0.0,0.0,0.0,1,0,False,True,True,False,False
400,130278.99,130278.99,0.0,690756.3,821035.3,1,0,True,False,False,True,False
658,1641792.79,1641792.79,0.0,536929.18,2178721.97,1,0,True,False,True,False,False
434,4152987.1,4152987.1,0.0,45694.34,4198681.44,1,0,True,False,True,False,False
128,3062506.58,3062506.58,0.0,0.0,3062506.58,1,0,True,False,True,False,False
126,5245375.3,5245375.3,0.0,0.0,0.0,1,0,False,True,False,False,True
46,71372.0,71372.0,0.0,613464.04,684836.04,1,0,True,False,True,False,False
84,39379.45,39379.45,0.0,188532.97,227912.43,1,0,True,False,True,False,False
401,125822.44,125822.44,0.0,0.0,0.0,1,0,False,True,True,False,False
643,1707.4,1707.4,0.0,0.0,1707.4,1,0,True,False,True,False,False
705,353090.95,353090.95,0.0,257783.54,610874.48,1,0,True,False,True,False,False
435,365332.78,365332.78,0.0,0.0,0.0,1,0,False,True,True,False,False
63,197226.65,197226.65,0.0,0.0,0.0,1,0,False,True,True,False,False
394,49950.63,49950.63,0.0,460576.82,510527.45,1,0,True,False,True,False,False
575,1489916.19,1489916.19,0.0,0.0,0.0,1,0,False,True,False,False,True
85,4094.07,4094.07,0.0,0.0,0.0,1,0,False,True,True,False,False
